ID_REF,GSM1443061,GSM1443062,GSM1443063,GSM1443064,GSM1443065,GSM1443066
12,1514214,30849539,12095206,64312927,85611356,24809451
13,0.95,5852845,1716470,0.09,77330816,51907019
14,0.08,0.05,0.05,164932227,124964138,24385791
15,0.07,0.04,0.05,0.09,0.63,0.1
16,11111852,32746297,102843201,279443840,88241686,144101205
17,2028733,1505887,1181303,0.67,2021108,6725869
18,2572317,31781452,10129414,6744979,13639852,1548713
19,422620565,806351922,935571579,1637187575,1607352148,1185372603
20,1292896,4292665,77976961,0.29,0.42,3476401
21,27917680,81179981,103128237,254936438,237761919,193391957
22,162789468,355396722,401050095,614804806,1009214870,578883530
23,2694406,2189072,7178756,51307919,7299802,11127267
24,6879888,13000400,5049234,4637675,21061093,1823127
25,0.2,0.6,0.05,0.57,0.84,0.61
26,0.34,0.22,0.21,0.89,0.17,0.1
27,3192323,30731596,27162118,43670699,23721402,44202839
28,0.03,0.04,0.05,0.09,0.08,0.1
29,0.03,0.04,0.05,0.09,0.08,0.47
30,0.07,0.08,0.09,0.12,0.08,0.11
31,8037186,0.62,0.58,0.48,1031933,0.2
32,0.03,0.04,0.05,0.09,0.08,0.1
33,7987949,15909191,0.07,0.41,1147790,10544014
34,2701967,0.34,12921859,0.27,0.55,0.1
35,0.03,0.04,0.05,0.09,0.08,1377545
36,0.03,0.04,0.05,0.09,0.08,0.2
37,0.31,0.27,0.31,0.09,0.16,0.19
38,0.37,0.04,0.05,0.14,0.56,0.1
40,53281682,89811774,105320265,188950127,204432094,188076592
41,0.12,0.04,0.05,0.14,0.11,0.1
42,16365588,43306772,4977289,101214995,0.27,49418405
43,0.03,10537112,0.05,0.82,0.08,0.1
44,0.43,0.75,0.21,0.37,32078563,0.11
45,43068242,51903384,89957588,2245924,3114126,6734489
46,1078263,2958732,5989449,7341866,1287566,23176200
47,69623618,3421782,29992004,404369501,1229992241,13209231
48,0.03,0.04,0.05,0.08,0.08,0.11
49,0.55,0.27,0.85,0.41,0.28,0.4
50,0.03,0.04,0.05,0.08,0.08,0.11
51,22593141,41033100,13481309,59848303,0.87,50573982
52,0.2,0.21,0.33,0.3,0.19,0.75
53,1644323,3267948,9951096,1906903,2193742,3069827
54,0.03,0.04,0.05,0.08,0.13,0.11
55,1817970,2338455,3332628,2333107,7585680,0.25
56,6023865,9903289,8530432,2633771,3033237,1996010
57,3267045,5368513,4602439,4344511,0.08,7206427
58,32808114,85255088,6598489,137216030,154785238,4422540
59,7088339,1209108,1099207,0.51,0.96,7852873
60,5182109,4350608,0.06,0.08,0.08,40192015
61,17247949,132269558,70655146,177204918,342468214,150792873
62,10428250,18757540,20231164,9610477,11854586,2420998
63,0.51,0.06,0.11,0.08,0.21,1460044
64,2488129,1859212,4989427,1440532,3172187,0.42
65,17617328,24607990,28651577,66206538,45416562,3426764
66,0.25,0.2,14646465,101395914,0.44,14213400
67,4624823,3013855,4092630,2634035,5116742,1058828
68,10190347,9097541,28334544,7571750,6898847,4536554
69,25822444,44318391,85935103,361988503,243575785,220257019
70,0.42,0.04,0.06,4315116,0.18,0.21
71,0.07,0.09,1597275,2170429,0.1,0.11
72,14953703,0.15,0.24,0.1,0.23,0.19
73,3833471,0.97,1898986,0.56,0.83,0.11
74,11248595,13135066,2449704,89364650,15408745,0.55
96,0.99,3769813,0.66,0.92,0.38,0.18
97,1229969,0.04,0.06,0.24,54042979,1617827
99,0.27,0.25,0.26,0.27,0.26,0.67
100,12472815,18384133,15836114,6962044,9782320,2178112
101,0.53,5894129,7615088,45307844,28003910,39083831
102,3742854,2689191,5281098,5995047,4943303,0.98
103,1146815,2624262,1331262,164720644,3550484,0.31
104,1963843,0.4,0.28,0.45,0.32,0.1
106,0.03,18074212,0.06,0.13,0.09,0.16
107,0.03,0.04,0.05,0.09,0.09,0.1
108,0.76,0.18,0.3,0.09,0.36,0.1
109,23101260,38881257,15373013,234342710,0.09,163912921
110,43184545,114788141,150436680,264078580,379351835,160178654
111,36835731,84820308,114564776,484928187,248591214,268476185
112,0.14,0.07,0.05,0.27,0.26,0.1
113,0.57,0.04,0.05,0.09,0.08,0.1
114,0.03,0.14,0.05,0.09,0.12,0.1
115,4701418,2953871,0.05,0.36,0.08,1536287
116,0.03,13492139,0.05,0.09,0.08,5852732
118,0.81,0.09,1587614,0.32,0.08,0.14
119,19590888,4144191,8850360,2901261,2136752,1225588
120,2510680,1784225,1428745,1849909,0.68,0.4
121,1275105,4830131,2251791,0.98,1940659,0.77
122,0.03,0.04,0.05,0.09,0.08,0.1
123,173313687,247137619,499693991,679824960,711625028,262113237
124,0.09,0.16,0.15,0.24,0.21,0.1
125,1880733,1003765,1655241,1935865,1235673,1021042
126,60950954,32772073,61252025,156218728,227592343,51605757
127,0.35,0.33,0.31,0.08,28841408,14116875
128,8720754,17240300,0.06,0.08,0.08,6993935
129,10336640,8943170,15446670,19785295,5562829,2410164
130,0.93,0.09,0.08,0.24,0.35,4683629
131,0.13,0.17,0.17,0.08,0.08,0.1
132,0.03,0.04,0.05,0.08,0.08,0.11
133,0.03,0.04,0.05,0.08,0.08,0.11
134,0.03,0.04,5463113,0.08,0.08,0.11
136,0.88,0.8,3257852,0.62,1639444,0.48
137,0.03,0.04,0.05,0.12,0.08,0.11
138,22478246,5841721,0.85,94863644,132518134,30831154
139,7901564,43328601,12840186,189346345,198565624,50811065
140,0.19,0.22,0.64,0.48,0.3,0.28
142,1019284,13508183,0.14,0.1,0.17,0.11
143,0.03,10312134,1884203,62605594,0.08,0.11
144,46070629,156095553,205467221,172775789,572435589,108612247
145,0.44,0.16,0.52,0.08,0.11,3026202
146,1233250,49666151,7069549,38169964,56517305,20908189
147,1898508,1635304,1751987,1052660,0.73,0.63
148,7583249,2253021,0.06,0.08,0.08,3662466
149,66900486,211120365,201928967,338491397,546766974,7355777
150,0.03,0.04,0.06,0.08,0.08,0.11
151,0.23,0.7,0.12,0.18,0.09,0.11
152,0.03,0.04,0.06,0.08,0.08,0.11
153,0.03,0.04,0.06,0.15,0.13,0.11
154,4203670,4683273,5784780,5949380,57071912,1245487
155,18243970,3802327,12423717,115508356,2307467,24096356
156,0.08,0.1,0.07,0.08,0.17,0.11
157,10656583,6666366,9503607,14610247,89446065,0.28
158,0.58,0.52,2352438,0.25,0.68,0.92
159,0.04,0.04,0.06,0.46,0.08,5863367
181,0.91,0.6,0.37,0.56,0.23,0.18
182,0.66,1295141,0.83,5274518,1098979,0.41
183,0.22,0.33,0.37,8972829,0.41,0.1
184,0.03,0.04,2546069,3130549,5286286,1906811
185,0.03,0.04,0.05,0.11,0.15,0.1
186,0.07,0.04,0.2,0.09,0.8,0.1
187,0.37,0.06,0.05,0.09,0.09,0.1
188,6184207,3953994,1953438,0.09,0.09,37509979
189,0.03,0.04,0.05,0.09,0.09,0.1
190,0.15,0.06,0.05,0.09,0.09,0.1
191,0.4,0.37,1489936,0.32,0.46,0.46
192,0.63,0.21,0.18,0.43,0.27,0.1
193,0.37,0.42,0.2,0.46,0.42,2873469
194,0.17,0.34,0.15,0.35,0.21,17526576
195,1145651,2627143,7642733,1649885,1269306,3617046
196,0.03,0.04,0.05,0.11,0.08,0.1
197,0.04,0.04,0.05,0.25,0.37,6644559
198,1289996,0.31,0.46,0.1,7210910,3043302
199,0.34,0.32,0.92,0.51,0.8,0.1
200,3185519,0.66,1012258,0.33,28112354,3242950
201,0.03,24691003,0.05,0.09,0.08,0.1
202,4576643,5925282,12330488,40260275,80002694,1545446
203,1193268,1264167,2053251,0.53,3148714,0.78
204,1826925,6818181,11728612,27710663,35779116,51580594
205,0.03,0.04,0.05,0.09,0.08,0.1
206,2903020,0.81,1676617,101386468,0.36,0.1
207,0.16,0.27,0.32,0.41,0.23,0.21
208,2409446,0.96,1492192,0.12,0.11,22873638
210,7181381,15367156,7667670,5073620,2889667,0.61
211,0.43,0.08,0.05,0.55,0.12,0.1
212,0.03,0.04,0.05,0.08,0.08,0.1
213,19269556,74316151,79187383,3635290,240691460,24777658
214,39583654,19827464,38351015,221214143,133424798,7903525
216,43188799,85817718,76651422,60392115,180652274,7349604
217,0.32,1267379,0.26,0.38,0.49,0.1
218,1309306,2330329,2051477,1617009,1244253,0.8
219,11604306,0.92,6355507,22255084,60641231,20171101
220,1958888,3099486,2971347,28726376,7159174,5782729
